trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
36,0,36,0,141.49635359994136,142.48018189985305,142.4938238998875,up,1,0.6579879000782967,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
37,0,37,0,143.16322889993899,144.1467215998564,144.16060279984958,down,1,1.5248391998466104,2,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
38,0,38,0,145.6963910998311,146.6939895998221,146.6939895998221,down,1,0.6497430999297649,-4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
39,0,39,0,147.3633417999372,148.3466260000132,148.360615799902,up,1,0.7134527999442071,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
40,0,40,0,149.0802017999813,150.06335889990442,150.07728989981115,up,1,1.2424246000591666,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
41,0,41,0,151.32979279989377,152.313879000023,152.3273065998219,up,1,0.49070089985616505,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
42,0,42,0,152.83005369990133,153.81335880002007,153.82711469987407,up,0,0.8227530000731349,-3,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
43,0,43,0,154.66309619997628,155.64672559988685,155.66061219992116,down,1,0.7058047000318766,4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
44,0,44,0,156.37980909994803,157.37733619986102,157.37733619986102,up,1,0.9986676000989974,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
45,0,45,0,158.39664980000816,159.38005319982767,159.39378569996916,down,1,0.7262889000121504,4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
46,0,46,0,160.1300551998429,161.11333019984886,161.12725150003098,up,1,0.6281624000985175,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
47,0,47,0,161.76327669993043,162.7469283998944,162.76087699993514,up,0,0.7359392000362277,3,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
48,0,48,0,163.51373769994825,164.4967363998294,164.51091729989275,down,1,0.7465419999789447,-3,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
49,0,49,0,165.290692999959,166.2940175998956,166.2940175998956,up,0,0.6346640000119805,-4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
50,0,50,0,166.96360119991004,167.94671990000643,167.96098480001092,up,0,0.549290900118649,-2,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
51,0,51,0,168.52992639993317,169.51358599984087,169.52729390002787,up,0,5.100495700025931,-4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
52,0,52,0,174.64694399992004,175.63028689986095,175.64444619999267,up,1,1.2853417999576777,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
53,0,53,0,176.94676660001278,177.93002630001865,177.94429999985732,up,0,0.4756197000388056,-3,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
54,0,54,0,178.43029919988476,179.41365849995054,179.427642500028,up,1,5.119121200172231,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
55,0,55,0,184.56362729985267,185.5470536998473,185.56100260000676,up,0,0.748725299956277,-3,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
56,0,56,0,186.3303533999715,187.31345529993996,187.32792249997146,up,0,2.7374120999593288,-4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
57,0,57,0,190.0803243999835,191.0637503999751,191.07751500001177,up,0,3.600330299930647,-4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
58,0,58,0,194.69678330002353,195.68068289989606,195.6941745998338,up,0,0.8025495000183582,4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
59,0,59,0,196.51363129983656,197.496976000024,197.51090370002203,up,0,0.49680359987542033,-4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
60,0,60,0,198.01391739980318,199.01120770000853,199.01120770000853,up,1,3.752602000022307,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
61,0,61,0,202.79699509986676,203.78050079988316,203.79434169991873,up,0,2.4581903000362217,-2,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
62,0,62,0,206.26347869983874,207.2608687998727,207.2608687998727,up,1,0.6455081000458449,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
63,0,63,0,207.93014699988998,208.92790809995495,208.92790809995495,up,0,4.158700499916449,3,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
64,0,64,0,213.11377129983157,214.0969878998585,214.11113019986078,up,1,1.696488399989903,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
